lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
234.80,44.00,8.03,2.50,0.00,0.00,nan,nan,nan,8.03,1.14,5.96,2348440,234.80,44.00,234.80,44.00,2.50,35.11,100.00,20.00,100.00,9.91,6.89,0.30,2.48
235.00,44.00,8.48,6.82,0.00,0.00,nan,nan,nan,8.48,1.60,7.89,2350440,235.00,44.00,235.00,44.00,13.00,35.11,100.00,20.00,100.00,357.61,8.12,0.96,6.75
235.20,44.00,10.56,10.61,0.00,0.00,nan,nan,nan,10.56,0.83,10.12,2352440,235.20,44.00,235.20,44.00,5.00,35.11,100.00,20.00,100.00,359.47,8.75,1.61,10.48
235.40,44.00,12.39,9.50,0.00,0.00,nan,nan,nan,12.39,358.68,12.39,2354440,235.40,44.00,235.40,44.00,5.00,35.11,100.00,20.00,100.00,0.46,10.08,1.66,9.35
235.60,44.00,17.43,7.36,0.00,0.00,nan,nan,nan,17.43,355.25,13.70,2356440,235.60,44.00,235.60,44.00,9.00,35.11,100.00,20.00,100.00,357.24,11.15,1.42,7.22
235.80,44.00,20.90,6.71,0.00,0.00,nan,nan,nan,20.90,350.15,12.74,2358440,235.80,44.00,235.80,44.00,12.00,35.11,100.00,20.00,100.00,353.42,13.54,1.57,6.52
236.01,44.00,23.96,15.00,7.24,0.55,nan,nan,nan,36.50,342.02,9.37,2360440,236.00,44.00,236.00,44.00,25.50,35.11,100.00,20.00,100.00,358.99,13.85,3.59,14.56
236.20,44.00,19.65,16.71,0.00,0.00,nan,nan,nan,19.65,332.78,5.94,2362440,236.20,44.00,236.20,44.00,9.00,35.11,100.00,20.00,100.00,358.52,14.14,4.08,16.20
236.40,44.00,22.00,15.49,0.00,0.00,nan,nan,nan,22.00,345.45,5.78,2364440,236.40,44.00,236.40,44.00,10.00,35.11,100.00,20.00,100.00,353.85,17.78,4.73,14.75
232.00,44.20,3.31,1.00,0.00,0.00,nan,nan,nan,3.31,359.80,4.35,2320442,232.00,44.20,232.00,44.20,1.00,34.27,100.00,20.00,100.00,11.10,0.00,0.00,1.00
232.20,44.20,3.37,2.00,0.00,0.00,nan,nan,nan,3.37,359.80,4.35,2322442,232.20,44.20,232.20,44.20,3.00,34.27,100.00,20.00,100.00,11.10,0.00,0.00,2.00
