lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
237.00,45.40,40.56,13.36,1.69,0.13,nan,nan,nan,26.96,353.26,11.53,2370454,237.00,45.40,237.00,45.40,10.00,34.68,100.00,20.00,100.00,4.26,12.92,2.99,13.02
236.60,45.60,39.99,12.77,0.65,0.05,nan,nan,nan,25.14,324.72,3.18,2366456,236.60,45.60,236.60,45.60,10.00,34.68,100.00,20.00,100.00,5.02,10.69,2.37,12.55
236.80,45.60,39.77,12.94,0.62,0.05,nan,nan,nan,25.08,333.58,7.21,2368456,236.80,45.60,236.80,45.60,10.00,34.68,100.00,20.00,100.00,7.46,12.19,2.73,12.65
237.00,45.60,39.78,13.56,1.64,0.13,nan,nan,nan,26.86,341.29,13.45,2370456,237.00,45.60,237.00,45.60,10.00,34.68,100.00,20.00,100.00,9.40,12.19,2.86,13.26
236.60,45.80,34.54,12.94,0.52,0.04,nan,nan,nan,24.93,314.16,6.92,2366458,236.60,45.80,236.60,45.80,10.00,33.95,100.00,20.00,100.00,8.48,11.56,2.59,12.68
236.80,45.80,39.83,12.94,0.60,0.05,nan,nan,nan,25.07,322.50,10.50,2368458,236.80,45.80,236.80,45.80,10.00,33.95,100.00,20.00,100.00,6.25,11.73,2.63,12.67
237.01,45.80,39.78,13.03,1.77,0.14,nan,nan,nan,27.16,332.30,15.98,2370458,237.00,45.80,237.00,45.80,10.00,33.95,100.00,20.00,100.00,7.94,11.96,2.70,12.74
236.60,46.00,34.85,12.57,0.97,0.08,nan,nan,nan,25.73,313.84,10.20,2366460,236.60,46.00,236.60,46.00,11.00,33.99,100.00,20.00,100.00,1.80,11.88,2.59,12.30
236.80,46.00,39.66,12.57,0.60,0.05,nan,nan,nan,25.08,319.51,13.23,2368460,236.80,46.00,236.80,46.00,10.00,33.99,100.00,20.00,100.00,6.51,11.10,2.42,12.33
237.01,46.00,39.98,13.03,1.75,0.14,nan,nan,nan,27.13,328.59,17.75,2370460,237.00,46.00,237.00,46.00,9.00,33.99,100.00,20.00,100.00,6.14,12.51,2.82,12.72
236.60,46.20,35.35,12.21,0.58,0.05,nan,nan,nan,25.05,319.85,11.80,2366462,236.60,46.20,236.60,46.20,10.00,33.44,100.00,20.00,100.00,9.23,11.23,2.38,11.98
